Koda izdelka,Koda modula,Slovenski naziv,Angleški naziv,Koda,Tampo koda
IZ59.C513,IZ59.C575,TSD-T2-75-1+0 - TAMPOTISK,TSD-T2-75-1+0 - TAMPOPRINT,59.C513,59C.513.101
IZ59.C514,IZ59.C575,TSD-T2-75-1+0-R - TAMPOTISK,TSD-T2-75-1+0-R - TAMPOPRINT,59.C514,59C.514.101
IZ59.C515,IZ59.C576,TSD-T2-150-1+0 - TAMPOTISK,TSD-T2-150-1+0 - TAMPOPRINT,59.C515,59C.515.101
IZ59.C516,IZ59.C576,TSD-T2-150-1+0-R - TAMPOTISK,TSD-T2-150-1+0-R - TAMPOPRINT,59.C516,59C.516.101
IZ59.C517,IZ59.C577,TSD-T2-300-1+0 - TAMPOTISK,TSD-T2-300-1+0 - TAMPOPRINT,59.C517,59C.517.101
IZ59.C518,IZ59.C577,TSD-T2-300-1+0-R - TAMPOTISK,TSD-T2-300-1+0-R - TAMPOPRINT,59.C518,59C.518.101
IZ59.C519,IZ59.C578,TSD-T2-350-1+0 - TAMPOTISK,TSD-T2-350-1+0 - TAMPOPRINT,59.C519,59C.519.101
IZ59.C520,IZ59.C578,TSD-T2-350-1+0-R - TAMPOTISK,TSD-T2-350-1+0-R - TAMPOPRINT,59.C520,59C.520.101
IZ59.C521,IZ59.C579,TSD-T2-480-1+0 - TAMPOTISK,TSD-T2-480-1+0 - TAMPOPRINT,59.C521,59C.521.101
IZ59.C522,IZ59.C579,TSD-T2-480-1+0-R - TAMPOTISK,TSD-T2-480-1+0-R - TAMPOPRINT,59.C522,59C.522.101
IZ59.C523,IZ59.C580,TSD-T2-550-1+0 - TAMPOTISK,TSD-T2-550-1+0 - TAMPOPRINT,59.C523,59C.523.101
IZ59.C524,IZ59.C580,TSD-T2-550-1+0-R - TAMPOTISK,TSD-T2-550-1+0-R - TAMPOPRINT,59.C524,59C.524.101
IZ59.C525,IZ59.C581,TSD-T2-750-1+0 - TAMPOTISK,TSD-T2-750-1+0 - TAMPOPRINT,59.C525,59C.525.101
IZ59.C526,IZ59.C581,TSD-T2-750-1+0-R - TAMPOTISK,TSD-T2-750-1+0-R - TAMPOPRINT,59.C526,59C.526.101
IZ59.C527,IZ59.C575,TSD-T2-75-2+0 - TAMPOTISK,TSD-T2-75-2+0 - TAMPOPRINT,59.C527,59C.527.101
IZ59.C528,IZ59.C575,TSD-T2-75-2+0-R - TAMPOTISK,TSD-T2-75-2+0-R - TAMPOPRINT,59.C528,59C.528.101
IZ59.C529,IZ59.C576,TSD-T2-150-2+0 - TAMPOTISK,TSD-T2-150-2+0 - TAMPOPRINT,59.C529,59C.529.101
